n_estimators_ee,depth,learning_rate,iterations,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
5,5,0.0940251794998997,200,0.6310231023102311,0.018505714789211307,0.7636363636363637,0.03613302254669258,0.7707667852547119,0.04622455529211442,True
5,8,0.03521442600498826,100,0.5628712871287128,0.017031712304381972,0.8363636363636363,0.03337962893353228,0.7376125955643025,0.046134419706869476,True
5,6,0.09711928900102478,100,0.606105610561056,0.0189097159220566,0.8363636363636363,0.03698080004912019,0.7637574748315796,0.04600216407004123,True
5,5,0.24122630646049592,150,0.6232673267326733,0.01850703771519645,0.7818181818181819,0.03615498396192791,0.7666944213155703,0.04599247327557261,True
5,6,0.16565292720527178,200,0.6272277227722772,0.019610504105161103,0.8181818181818181,0.03829893623747391,0.7679812277647414,0.04592829136410363,True
5,5,0.10451820854973216,200,0.6326732673267327,0.018965160878433984,0.7818181818181819,0.03702919115906259,0.7711149799409582,0.045893408925909235,True
20,9,0.28782863988841056,150,0.6168316831683167,0.01779575376086014,0.7636363636363637,0.034775458243106336,0.7724623419877374,0.04576942452990598,True
5,5,0.16781967230789208,150,0.6265676567656765,0.019603526864368618,0.8181818181818181,0.03828756577502015,0.7699492846870033,0.045675207116473035,True
5,4,0.0472225864289607,200,0.6260726072607261,0.01909091052435102,0.8,0.037290897173321055,0.7734463704488682,0.04561562174011089,True
5,6,0.10074782093507514,200,0.6211221122112212,0.018961302813449644,0.8,0.037040322129732385,0.7708878964499281,0.04557973230710568,True
5,6,0.4910680579969006,100,0.6275577557755775,0.018781974560274098,0.7818181818181819,0.03667878197645528,0.7562637196275831,0.0455595483097332,True
5,4,0.11352204555594887,200,0.6227722772277228,0.01807297681259494,0.7636363636363637,0.03530791738056523,0.7604117780637347,0.04547420205639556,True
10,6,0.026960019549442528,200,0.624917491749175,0.01942843323670625,0.8181818181818181,0.03795193654595509,0.7737794262357126,0.04542018464241654,True
5,4,0.04855119716238511,200,0.6277227722772277,0.019170296715637917,0.8,0.03744230260920472,0.7712209522367723,0.04540441327085355,True
10,6,0.01976450875712731,150,0.5775577557755776,0.017163290179143705,0.8181818181818181,0.03361789650429533,0.7497691317841192,0.04534808959168084,True
5,9,0.04667103594139459,100,0.5689768976897691,0.017285615032813218,0.8363636363636363,0.03386749143541486,0.7434410718340777,0.045333095951081814,True
5,4,0.05248868329480974,200,0.6278877887788779,0.019133026837783253,0.8,0.03737001361042882,0.7736734539398985,0.04508849589764645,True
5,7,0.0841463011925069,100,0.5962046204620461,0.018433443117042456,0.8363636363636363,0.03606815039467158,0.7620316402997502,0.045022778513948286,True
5,6,0.08069824785291232,200,0.6224422442244224,0.019019721444073538,0.8,0.03715295286665547,0.7625463628794187,0.04499531014068514,True
5,5,0.07976618206729877,200,0.6308580858085808,0.019316982239846243,0.8,0.03772110156300381,0.7692983120127167,0.044957287864450204,True
20,4,0.020366442026830918,50,0.5603960396039604,0.015438398576151664,0.7636363636363637,0.030263002799624506,0.7397017636817804,0.04495452619264006,True
5,5,0.09052896114302533,200,0.6301980198019802,0.019279066557506382,0.8,0.037647837796946124,0.7710090076451441,0.04481044706721986,True
5,7,0.0739762291207998,200,0.6219471947194719,0.018417497945609037,0.7818181818181819,0.03598464820193508,0.7698433123911892,0.04459740766104697,True
5,8,0.11770570559942618,200,0.6216171617161717,0.018874928392275503,0.8,0.03687684763767514,0.7602906668685186,0.04401591741259052,True
15,9,0.023178318379182484,100,0.5673267326732674,0.017225514278131186,0.8363636363636363,0.03375315348824512,0.7418969040950721,0.043940599433981,True
5,4,0.10228689369500488,200,0.6272277227722772,0.018667923234967444,0.7818181818181819,0.03646240746647357,0.7636212247369617,0.04393617291537012,True
5,5,0.12138671732955073,200,0.6292079207920792,0.018416456635542845,0.7636363636363637,0.03596415375529523,0.7573083036863221,0.04363212238745846,True
5,6,0.2618250893977539,150,0.6199669966996699,0.017946418359655405,0.7636363636363637,0.035066595207380924,0.7608356672469911,0.04350584657108632,True
5,6,0.491321925663391,100,0.6272277227722772,0.01877173359846534,0.7818181818181819,0.03665911743719847,0.7557489970479147,0.04331036401184403,True
15,7,0.05550984473260664,150,0.6105610561056106,0.018671505162201528,0.8181818181818181,0.03650458891384522,0.7673756717886608,0.04315659611379176,True
15,9,0.01823746877583704,100,0.5653465346534654,0.016351533767065198,0.8,0.03204514751953695,0.7389599576110817,0.04269295468497946,True
10,9,0.12265520529217712,150,0.602970297029703,0.018803448680834067,0.8363636363636363,0.036775193911518914,0.7696465066989631,0.041878662380020214,True
15,3,0.03135775732257745,100,0.579042904290429,0.016952221065718257,0.8,0.03319553876037079,0.7500567708727575,0.04172907182695323,True
15,3,0.10769622478263129,50,0.6028052805280527,0.017908126783378782,0.8,0.03502732699747364,0.7567481644084475,0.041259190540837536,True
10,8,0.021839352923182977,150,0.5666666666666667,0.0163323378057171,0.8,0.03200798380751081,0.7433956551358716,0.041209447950623215,True
10,6,0.054182823195332394,100,0.5966996699669967,0.018405801204062,0.8363636363636363,0.036015154019304545,0.7568541367042616,0.041197375188301945,True
15,6,0.033649897984607886,150,0.5981848184818481,0.01768897125784328,0.8,0.03460868942858641,0.7611384452350315,0.04119130703871295,True
10,6,0.02427587781232554,200,0.6234323432343235,0.01975128436055829,0.8363636363636363,0.03858793796315208,0.7731890091590342,0.04118486310586752,True
5,5,0.059491649018805326,200,0.633993399339934,0.019503585583438253,0.8,0.038075655570679885,0.7801377639845584,0.041043557353541434,True
5,7,0.07972014659988808,50,0.5745874587458746,0.017504356388508856,0.8363636363636363,0.03428735039863902,0.740352736356067,0.041007050414285304,True
5,5,0.04392958352197706,50,0.5499999999999999,0.015806492646527604,0.8,0.030996180817623308,0.7476042691696313,0.04097843422582525,True
