n_estimators_ee,max_depth,learning_rate,n_estimators_xgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
15,7,0.021123615302303004,100,0.6402640264026402,0.019426304838962197,0.7818181818181819,0.03790114015999263,0.7773824842933917,0.06814147538071127,True
20,9,0.01743196185098689,100,0.6382838283828384,0.01974965142340123,0.8,0.03853826349698088,0.7761410945424267,0.06789725967817668,True
15,7,0.038771830602467396,50,0.6417491749174917,0.019507065418523782,0.7818181818181819,0.038053978565159484,0.7752781772765119,0.06774906823761914,True
20,6,0.012974020757174128,50,0.6394389438943895,0.01983851757110519,0.8,0.03870294200248877,0.769843312391189,0.06712630717749501,True
15,7,0.03347792727023081,100,0.6397689768976897,0.01988959627966541,0.8,0.038803936639466005,0.785284989781243,0.06703151586544169,True
15,7,0.010199266255241054,150,0.6414191419141914,0.019489088474356715,0.7818181818181819,0.03801912790851235,0.7737491484369088,0.06681769165841672,True
15,8,0.014952720499508496,100,0.6414191419141915,0.019490627092402228,0.7818181818181819,0.038021796706317,0.7724774808871395,0.0664176705753627,True
15,7,0.015536963182868931,100,0.6412541254125412,0.019485974921689374,0.7818181818181819,0.03801314426620912,0.7735674816440845,0.06641523179008513,True
10,7,0.04421528732140036,50,0.6402640264026402,0.01942391560463929,0.7818181818181819,0.03789530531820724,0.7681477556581637,0.06531195757045354,True
20,5,0.01512575475192611,50,0.6353135313531353,0.019605925194623085,0.8,0.03826122759500396,0.7693588676103247,0.06493046323315783,True
20,5,0.01770512505201134,200,0.635973597359736,0.02005341516405063,0.8181818181818181,0.03913804428656324,0.786496101733404,0.06470491174840842,True
20,9,0.015732121007698028,100,0.6394389438943895,0.019372623316182044,0.7818181818181819,0.03779767019946968,0.7740216486261448,0.06461646601115803,True
20,6,0.023762169222892437,100,0.6374587458745875,0.019700150881323316,0.8,0.038444142000236416,0.7795473469078797,0.0643442194692203,True
20,3,0.016264324024436838,100,0.633003300330033,0.01949595261979815,0.8,0.03805493818857323,0.7742790099159791,0.06423221087067896,True
20,6,0.029003674183384183,50,0.6410891089108911,0.01944708987509223,0.7818181818181819,0.03794053923954998,0.773022481265612,0.06404679806531752,True
20,6,0.03212845745709308,100,0.6367986798679868,0.020563949984766162,0.8363636363636363,0.04013105499371482,0.7850730451896146,0.0640348831231138,True
20,8,0.013905675341461992,100,0.6407590759075907,0.019452628606976847,0.7818181818181819,0.03794894510834827,0.773173870259632,0.0638819945070141,True
20,7,0.025508047483607868,50,0.6405940594059406,0.01943615684417152,0.7818181818181819,0.037918125648310944,0.772083869502687,0.06366280187930393,True
